lang,data_status,trait_clean,raw_contrasts,recommended_status,strict_status,flag,adaptation_note
af,dropped_quality,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
af,dropped_quality,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
af,dropped_quality,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
ar,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
ar,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
ar,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
ar,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
ar,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
ar,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
ar,kept,Usage of Active Voice,Active / Passive,direct,direct,,
ar,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
ar,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
ar,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
ar,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
ar,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
ar,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
ar,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
ar,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
ar,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
ar,kept,Usage of Articles,With articles / Less frequent articles,direct,direct,,
ar,kept,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
ar,kept,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
ar,kept,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
ar,kept,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
ar,kept,Usage of Prepositions,With prepositions / Less frequent prepositions,direct,direct,,
ar,kept,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
ar,kept,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
ar,kept,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
ar,kept,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
ar,kept,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
ar,kept,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
ar,kept,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
ar,kept,Usage of Formal Tone,Formal / Informal,direct,direct,,
ar,kept,Complex Sentence Structure,Complex / Simple,direct,direct,,
ar,kept,Usage of Contractions,With contractions / Without contractions,direct,direct,,
ar,kept,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,adapt,drop,NUMSUB_ADAPT,Adapt to Arabizi-style digit substitutions used in Arabic internet writing.
ar,kept,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
ar,kept,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
ar,kept,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
ar,kept,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
ar,kept,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
az,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
az,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
az,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
az,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
az,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
az,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
az,kept,Usage of Active Voice,Active / Passive,direct,direct,,
az,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
az,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
az,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
az,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
az,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
az,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
az,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
az,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
az,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
az,kept,Usage of Articles,With articles / Less frequent articles,drop,drop,ART_DROP,Drop article contrast because the language lacks a stable article category comparable to English a/an/the.
az,kept,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
az,kept,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
az,kept,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
az,kept,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
az,kept,Usage of Prepositions,With prepositions / Less frequent prepositions,adapt,drop,PREP_ADAPT,"Adapt preposition frequency to adpositions, postpositions, case suffixes, or case particles used for the same grammatical relations."
az,kept,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
az,kept,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
az,kept,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
az,kept,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
az,kept,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
az,kept,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,direct,direct,,
az,kept,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
az,kept,Usage of Formal Tone,Formal / Informal,direct,direct,,
az,kept,Complex Sentence Structure,Complex / Simple,direct,direct,,
az,kept,Usage of Contractions,With contractions / Without contractions,direct,direct,,
az,kept,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,direct,direct,,
az,kept,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,direct,direct,,
az,kept,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,direct,direct,,
az,kept,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
az,kept,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
az,kept,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
be,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
be,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
be,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
be,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
be,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
be,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
be,kept,Usage of Active Voice,Active / Passive,direct,direct,,
be,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
be,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
be,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
be,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
be,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
be,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
be,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
be,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
be,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
be,kept,Usage of Articles,With articles / Less frequent articles,drop,drop,ART_DROP,Drop article contrast because the language lacks a stable article category comparable to English a/an/the.
be,kept,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
be,kept,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
be,kept,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
be,kept,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
be,kept,Usage of Prepositions,With prepositions / Less frequent prepositions,direct,direct,,
be,kept,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
be,kept,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
be,kept,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
be,kept,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
be,kept,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
be,kept,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,direct,direct,,
be,kept,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
be,kept,Usage of Formal Tone,Formal / Informal,direct,direct,,
be,kept,Complex Sentence Structure,Complex / Simple,direct,direct,,
be,kept,Usage of Contractions,With contractions / Without contractions,direct,direct,,
be,kept,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,adapt,drop,NUMSUB_ADAPT,Adapt to local Cyrillic or internet number substitutions; keep strict mode conservative.
be,kept,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,direct,direct,,
be,kept,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,direct,direct,,
be,kept,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
be,kept,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
be,kept,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
bg,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
bg,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
bg,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
bg,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
bg,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
bg,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
bg,kept,Usage of Active Voice,Active / Passive,direct,direct,,
bg,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
bg,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
bg,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
bg,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
bg,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
bg,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
bg,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
bg,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
bg,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
bg,kept,Usage of Articles,With articles / Less frequent articles,direct,direct,,
bg,kept,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
bg,kept,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
bg,kept,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
bg,kept,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
bg,kept,Usage of Prepositions,With prepositions / Less frequent prepositions,direct,direct,,
bg,kept,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
bg,kept,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
bg,kept,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
bg,kept,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
bg,kept,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
bg,kept,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,direct,direct,,
bg,kept,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
bg,kept,Usage of Formal Tone,Formal / Informal,direct,direct,,
bg,kept,Complex Sentence Structure,Complex / Simple,direct,direct,,
bg,kept,Usage of Contractions,With contractions / Without contractions,direct,direct,,
bg,kept,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,adapt,drop,NUMSUB_ADAPT,Adapt to local Cyrillic or internet number substitutions; keep strict mode conservative.
bg,kept,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,direct,direct,,
bg,kept,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,direct,direct,,
bg,kept,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
bg,kept,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
bg,kept,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
bn,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
bn,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
bn,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
bn,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
bn,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
bn,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
bn,kept,Usage of Active Voice,Active / Passive,direct,direct,,
bn,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
bn,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
bn,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
bn,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
bn,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
bn,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
bn,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
bn,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
bn,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
bn,kept,Usage of Articles,With articles / Less frequent articles,drop,drop,ART_DROP,Drop article contrast because the language lacks a stable article category comparable to English a/an/the.
bn,kept,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
bn,kept,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
bn,kept,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
bn,kept,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
bn,kept,Usage of Prepositions,With prepositions / Less frequent prepositions,adapt,drop,PREP_ADAPT,"Adapt preposition frequency to adpositions, postpositions, case suffixes, or case particles used for the same grammatical relations."
bn,kept,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
bn,kept,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
bn,kept,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
bn,kept,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
bn,kept,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
bn,kept,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
bn,kept,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
bn,kept,Usage of Formal Tone,Formal / Informal,direct,direct,,
bn,kept,Complex Sentence Structure,Complex / Simple,direct,direct,,
bn,kept,Usage of Contractions,With contractions / Without contractions,direct,direct,,
bn,kept,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,drop,drop,NUMSUB_DROP,Drop numerical substitution because a robust local digit-substitution convention was not assumed for this pass.
bn,kept,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
bn,kept,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
bn,kept,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
bn,kept,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
bn,kept,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
ca,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
ca,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
ca,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
ca,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
ca,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
ca,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
ca,kept,Usage of Active Voice,Active / Passive,direct,direct,,
ca,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
ca,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
ca,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
ca,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
ca,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
ca,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
ca,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
ca,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
ca,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
ca,kept,Usage of Articles,With articles / Less frequent articles,direct,direct,,
ca,kept,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
ca,kept,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
ca,kept,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
ca,kept,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
ca,kept,Usage of Prepositions,With prepositions / Less frequent prepositions,direct,direct,,
ca,kept,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
ca,kept,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
ca,kept,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
ca,kept,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
ca,kept,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
ca,kept,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,direct,direct,,
ca,kept,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
ca,kept,Usage of Formal Tone,Formal / Informal,direct,direct,,
ca,kept,Complex Sentence Structure,Complex / Simple,direct,direct,,
ca,kept,Usage of Contractions,With contractions / Without contractions,direct,direct,,
ca,kept,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,direct,direct,,
ca,kept,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,direct,direct,,
ca,kept,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,direct,direct,,
ca,kept,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
ca,kept,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
ca,kept,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
cs,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
cs,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
cs,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
cs,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
cs,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
cs,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
cs,kept,Usage of Active Voice,Active / Passive,direct,direct,,
cs,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
cs,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
cs,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
cs,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
cs,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
cs,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
cs,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
cs,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
cs,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
cs,kept,Usage of Articles,With articles / Less frequent articles,drop,drop,ART_DROP,Drop article contrast because the language lacks a stable article category comparable to English a/an/the.
cs,kept,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
cs,kept,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
cs,kept,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
cs,kept,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
cs,kept,Usage of Prepositions,With prepositions / Less frequent prepositions,direct,direct,,
cs,kept,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
cs,kept,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
cs,kept,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
cs,kept,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
cs,kept,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
cs,kept,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,direct,direct,,
cs,kept,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
cs,kept,Usage of Formal Tone,Formal / Informal,direct,direct,,
cs,kept,Complex Sentence Structure,Complex / Simple,direct,direct,,
cs,kept,Usage of Contractions,With contractions / Without contractions,direct,direct,,
cs,kept,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,direct,direct,,
cs,kept,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,direct,direct,,
cs,kept,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,direct,direct,,
cs,kept,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
cs,kept,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
cs,kept,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
cy,dropped_quality,Usage of Polite Tone,Polite / Impolite,direct,direct,,
cy,dropped_quality,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
cy,dropped_quality,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
cy,dropped_quality,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
cy,dropped_quality,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
cy,dropped_quality,Positive Sentiment Expression,Positive / Negative,direct,direct,,
